,city,clouds,humidity,tempf,pressure,wind speed,latitude,longitude
0,Salo,12,93,40.98,994.0,3.1,60.38,23.13
1,Ushuaia,75,86,33.78,998.0,4.1,-54.81,-68.31
2,Hailar,0,63,42.38,949.53,5.12,49.2,119.7
3,Terrace,75,20,51.78,1017.0,5.1,54.52,-128.61
4,Punta Arenas,75,86,39.18,1001.0,9.3,-53.16,-70.91
5,Ancud,24,80,44.27,1033.34,2.52,-41.87,-73.83
6,Hilo,20,57,79.55,1015.0,4.6,19.71,-155.08
7,Mataura,0,85,53.0,1017.54,3.22,-46.19,168.86
8,Rikitea,100,100,68.48,1031.56,8.72,-23.12,-134.97
9,Ribeira Grande,80,100,70.1,1027.43,2.72,38.52,-28.7
10,Hobart,75,76,55.38,1011.0,5.1,-42.88,147.33
11,Puerto Ayora,75,69,75.18,1011.0,2.6,-0.74,-90.35
12,Tura,64,98,70.37,1011.7,2.37,25.52,90.21
13,Bela Vista de Goias,0,54,78.78,1015.0,3.1,-16.97,-48.95
14,Vardo,75,73,74.41,1017.0,2.6,39.62,-77.74
15,Saint-Philippe,90,100,50.23,1016.0,5.1,45.36,-73.48
16,Xingtai,0,62,59.84,1023.37,1.22,37.07,114.49
17,Ponta do Sol,36,79,68.12,926.43,0.97,-20.63,-46.0
18,Luderitz,0,75,58.13,1015.59,9.97,-26.65,15.16
19,Carutapera,20,80,80.72,1024.59,5.12,-1.2,-46.02
20,Wanning,75,76,49.98,1021.0,6.2,48.64,13.53
21,Yermakovskoye,92,97,38.15,987.87,3.42,53.28,92.4
22,Saskylakh,68,89,22.58,1002.46,1.47,71.97,114.09
23,Yakeshi,0,66,43.37,942.07,3.07,49.28,120.73
24,Port Elizabeth,1,78,75.0,1018.0,3.6,39.31,-74.98
25,Avarua,40,41,76.98,1021.0,8.2,-21.21,-159.78
26,Bathsheba,92,99,82.7,1023.86,5.92,13.22,-59.52
27,Port Alfred,36,99,60.65,1031.72,9.72,-33.59,26.89
28,Busselton,0,100,56.24,1038.04,9.62,-33.64,115.35
29,Pierre,1,67,67.98,1005.0,5.1,44.37,-100.35
30,Hithadhoo,68,100,82.25,1021.1,8.27,-0.6,73.08
31,Yellowknife,75,58,28.38,1012.0,9.3,62.45,-114.38
32,Vilcun,80,97,39.23,955.12,1.42,-38.65,-72.23
33,Dikson,64,100,38.24,1016.0,9.17,73.51,80.55
34,Soure,0,55,60.78,1020.0,1.5,40.06,-8.63
35,Pevek,8,92,43.91,1002.87,5.37,69.7,170.27
36,Lebu,0,80,47.24,777.11,2.42,8.96,38.73
37,Beaupre,90,93,46.38,1021.0,8.2,47.04,-70.9
38,East London,92,100,61.82,1033.34,14.12,-33.02,27.91
39,Gejiu,92,99,56.96,854.93,1.22,23.36,103.16
40,Bredasdorp,76,81,44.58,1032.0,1.0,-34.53,20.04
41,Albany,90,90,60.62,1015.0,2.6,42.65,-73.75
42,Tuktoyaktuk,75,86,26.58,1023.0,4.6,69.44,-133.03
43,Chokurdakh,80,100,33.92,1006.11,2.62,70.62,147.9
44,Bethel,90,96,51.06,1001.0,7.7,60.79,-161.76
45,Nanortalik,88,100,34.37,1016.4,2.12,60.14,-45.24
46,Kapaa,40,72,85.17,1014.0,4.6,22.08,-159.32
47,Mar del Plata,92,45,50.48,1001.73,7.17,-46.43,-67.52
48,Arraial do Cabo,0,83,75.18,1013.0,3.1,-22.97,-42.02
49,Nikolskoye,75,87,42.78,999.0,2.0,59.7,30.79
50,Ganzhou,0,69,64.88,999.78,1.87,25.86,114.93
51,Carnarvon,8,77,42.74,883.63,6.77,-30.97,22.13
52,Baker City,90,46,70.19,1006.0,3.1,44.77,-117.83
53,Saint-Joseph,0,66,53.99,1019.0,3.6,43.56,6.97
54,Hami,20,42,52.73,947.74,4.67,42.84,93.51
55,Cedral,0,29,76.22,826.8,3.47,23.82,-100.72
56,Bilibino,44,93,29.87,957.71,1.32,68.06,166.44
57,Amalner,0,84,73.43,995.89,0.87,21.04,75.07
58,Kahului,40,61,84.56,1014.0,7.2,20.89,-156.47
59,San Cristobal,40,76,55.38,1027.0,1.5,-0.39,-78.55
60,Barrow,32,39,53.63,1017.54,5.92,-38.31,-60.23
61,Hermanus,56,86,50.12,1005.22,2.77,-34.42,19.24
62,Petropavlovsk-Kamchatskiy,0,46,53.58,998.0,9.0,53.05,158.65
63,Road Town,1,65,82.92,1013.0,1.32,18.42,-64.62
64,Laguna,5,49,89.58,1009.0,3.1,27.52,-110.01
65,Maxixe,0,97,71.72,1023.45,6.62,-23.86,35.35
66,Cape Town,0,62,55.38,1030.0,9.3,-33.93,18.42
67,Vaini,68,97,68.93,958.04,0.87,15.34,74.49
68,Port Hedland,0,30,84.18,1014.0,5.1,-20.31,118.58
69,Takoradi,24,98,76.13,1023.21,2.42,4.89,-1.75
70,Usinsk,76,97,39.14,1009.19,4.32,66.0,57.56
71,Egvekinot,92,100,46.61,957.71,2.12,66.32,-179.17
72,Cayenne,0,100,75.18,1011.0,4.92,4.94,-52.33
73,Palma del Rio,0,48,64.6,1020.0,1.5,37.7,-5.28
74,Bunbury,75,82,54.21,1024.0,4.6,53.12,-2.65
75,Wilmington,1,88,73.22,1018.0,5.72,39.75,-75.55
76,Flinders,44,62,68.57,1010.57,2.37,-34.58,150.85
77,Lorengau,8,97,84.77,1022.24,2.42,-2.02,147.27
78,Shimoda,75,68,71.58,1020.0,4.1,34.7,138.93
79,Salalah,0,53,73.38,1011.0,1.0,17.01,54.1
80,Dingle,0,90,79.82,1003.76,0.97,11.0,122.67
81,Mana,75,100,45.25,1023.0,0.5,43.52,20.24
82,Atuona,56,100,79.1,1026.37,3.67,-9.8,-139.03
83,Vestmanna,0,80,39.18,1015.0,3.1,62.16,-7.17
84,Vila Franca do Campo,75,88,69.78,1018.0,5.1,37.72,-25.43
85,Didsbury,90,92,27.82,1009.0,4.6,51.66,-114.14
86,Tasiilaq,80,69,33.78,1016.0,1.0,65.61,-37.64
87,San Quintin,20,61,82.38,1011.0,3.1,17.54,120.52
88,Edelira,88,93,69.38,999.54,1.42,-26.75,-55.27
89,Karpathos,0,77,69.78,1017.0,2.1,35.51,27.21
90,Iqaluit,90,100,31.98,1014.0,5.1,63.75,-68.52
91,Nagato,40,77,66.77,1020.0,1.5,34.35,131.14
92,Chuy,68,83,51.11,1030.59,2.72,-33.69,-53.46
93,Atherton,90,81,52.32,1023.0,2.6,53.52,-2.49
94,Victoria,90,100,76.06,1012.0,1.0,5.28,115.24
95,New Norfolk,75,76,55.38,1011.0,5.1,-42.78,147.06
96,Namie,75,72,66.27,1021.0,2.6,37.52,140.86
97,Altay,92,98,33.83,821.37,1.47,47.83,88.13
98,Georgetown,0,88,78.78,1011.0,2.1,6.8,-58.16
99,Vila Velha,20,78,78.78,1013.0,6.7,-3.71,-38.6
100,Broken Hill,48,35,78.47,996.79,3.52,-31.97,141.45
101,Severo-Kurilsk,24,84,50.75,1008.54,6.82,50.68,156.12
102,Soloneshnoye,56,98,33.92,938.58,1.42,51.65,84.32
103,Shitanjing,0,62,28.61,858.34,0.37,39.23,106.34
104,Suwalki,92,98,44.27,994.76,11.42,54.11,22.93
105,Pisco,75,82,66.18,1012.0,2.6,-13.71,-76.2
106,Mayo,75,30,42.78,1016.0,1.22,63.59,-135.9
107,Burla,12,99,38.51,1025.48,3.67,53.34,78.33
108,Bluff,0,48,73.52,1011.54,4.12,-23.58,149.07
109,Kavaratti,0,100,82.97,1021.59,1.37,10.57,72.64
110,Kidal,0,35,79.73,971.58,3.52,18.44,1.41
111,Clyde River,75,92,17.58,1016.0,2.1,70.47,-68.59
112,Sao Joao da Barra,24,94,76.58,1028.15,12.42,-21.64,-41.05
113,Los Llanos de Aridane,0,73,73.38,1019.0,3.6,28.66,-17.92
114,Thinadhoo,88,100,79.73,1022.08,8.72,0.53,72.93
115,Dabakala,88,99,70.28,997.68,1.87,8.36,-4.43
116,Kavieng,88,100,84.77,1022.89,1.32,-2.57,150.8
117,Butaritari,0,100,84.59,1022.24,1.87,3.07,172.79
118,Inirida,12,77,82.61,1002.46,1.67,3.87,-67.92
119,Bambous Virieux,40,77,69.78,1020.0,0.5,-20.34,57.76
120,Rawson,24,29,50.39,1015.59,5.12,-43.3,-65.11
121,Esso,24,74,33.65,887.68,4.02,55.93,158.7
122,Piacabucu,0,85,72.26,1018.67,3.72,-10.41,-36.43
123,Mount Gambier,56,93,56.6,1022.48,2.87,-37.83,140.78
124,Airai,0,66,74.69,950.01,1.02,-8.93,125.41
125,Gull Lake,90,92,28.38,1011.0,2.1,50.1,-108.48
126,Ruyigi,48,76,57.77,837.18,0.87,-3.47,30.25
127,Bataipora,8,81,77.48,988.11,1.92,-22.3,-53.27
128,Yerbogachen,8,68,33.47,980.01,2.92,61.28,108.01
129,Khatanga,88,96,29.69,1010.4,2.52,71.98,102.47
130,Sept-Iles,75,83,31.98,1027.0,2.1,50.2,-66.38
131,Praya,20,74,82.38,1013.0,2.6,-8.71,116.27
132,Necochea,44,61,51.2,1023.7,5.62,-38.55,-58.74
133,Samana,32,82,79.46,981.3,1.17,0.12,-76.97
134,Jamestown,76,78,59.48,972.22,4.32,-33.21,138.6
135,Sisimiut,0,100,16.28,992.33,1.77,66.94,-53.67
136,Shepsi,92,100,68.12,1027.91,5.02,44.04,39.15
137,Sitka,0,41,82.97,952.53,7.92,37.17,-99.65
138,Garden City,90,96,71.31,1017.0,4.1,40.73,-73.63
139,Bozeman,90,49,65.12,1005.0,2.1,45.68,-111.04
140,Brokopondo,20,83,80.58,1011.0,5.1,5.06,-54.98
141,Chon Daen,40,94,75.18,1013.0,1.0,16.19,100.86
142,Geraldton,75,81,44.58,1015.0,2.6,49.72,-86.95
143,Westport,92,98,55.34,1029.21,6.92,53.8,-9.52
144,Tiarei,75,54,82.38,1015.0,2.1,-17.53,-149.33
145,Faanui,44,100,76.76,1029.7,12.37,-16.48,-151.75
146,Muravlenko,76,95,38.15,1014.62,3.52,63.79,74.5
147,Riyadh,0,17,75.18,1015.0,2.1,24.63,46.72
148,Esperance,20,88,78.78,1011.0,2.57,10.24,-61.45
149,Visby,92,81,48.18,989.0,6.7,57.64,18.3
150,Berlevag,76,100,37.61,993.46,5.77,70.86,29.09
151,Hurricane,90,57,71.33,1011.0,2.1,37.18,-113.29
152,Palmas,12,65,80.72,994.76,2.67,-10.18,-48.33
153,Norman Wells,40,44,40.98,1019.0,3.1,65.28,-126.83
154,Seddon,0,84,55.79,1018.02,1.62,-41.67,174.07
155,Evensk,88,100,44.36,996.54,6.27,61.92,159.24
156,Boueni,0,88,71.58,1015.0,1.5,-12.9,45.08
157,Grand-Santi,24,75,79.46,1007.49,2.42,4.27,-54.38
158,Jumla,0,88,31.67,683.41,1.07,29.28,82.18
159,Aquiraz,20,78,78.78,1013.0,6.7,-3.9,-38.39
160,Castro,80,82,44.9,1025.8,2.67,-42.48,-73.76
161,Fortuna,0,77,62.58,1021.0,2.1,38.18,-1.13
162,Port Blair,12,100,84.5,1022.97,1.52,11.67,92.75
163,Thompson,75,44,37.38,1008.0,3.6,55.74,-97.86
164,Hasaki,75,88,69.87,1019.0,2.6,35.73,140.83
165,Leshukonskoye,92,98,43.55,1002.05,2.87,64.9,45.76
166,Pavlovsk,40,80,39.18,1025.0,4.0,53.31,82.99
167,California City,1,32,77.75,1010.0,11.8,35.13,-117.99
168,Sal Rei,20,83,78.78,1015.0,4.1,16.18,-22.92
169,Coos Bay,1,67,60.38,1013.0,6.2,43.37,-124.22
170,Waingapu,12,69,79.73,990.95,4.42,-9.65,120.26
171,Yumen,0,62,36.17,853.88,3.67,40.29,97.04
172,Sibi,0,43,64.25,998.0,0.97,29.55,67.88
173,Katsuura,40,82,66.18,1021.0,1.5,33.93,134.5
174,Coro,48,87,80.81,999.54,3.87,11.41,-69.67
175,Tiksi,64,100,24.92,993.38,4.02,71.64,128.87
176,Ilanskiy,64,59,38.06,995.89,3.47,56.24,96.06
177,Half Moon Bay,90,88,74.82,1009.0,3.1,37.46,-122.43
178,Klaksvik,20,80,39.18,1015.0,3.1,62.23,-6.59
179,Kang,0,49,58.58,903.16,1.42,-23.67,22.79
180,Bata,40,100,75.18,1011.0,1.52,1.87,9.77
181,Yulara,75,49,71.58,1021.0,6.2,-25.24,130.99
182,Naze,75,100,75.18,1012.0,1.77,5.43,7.07
183,Boguchany,8,67,33.92,991.44,2.62,58.38,97.46
184,Barra do Corda,0,52,83.33,1008.13,3.02,-5.5,-45.25
185,Bayir,0,87,60.78,1018.0,1.0,37.27,28.22
186,Taketoyo,75,64,69.78,1020.0,3.6,34.83,136.91
187,Biaora,20,85,68.75,975.63,1.67,23.92,76.91
188,Anloga,20,88,78.78,1012.0,3.6,5.79,0.9
189,Radolfzell,8,76,50.45,1025.0,5.1,47.74,8.97
190,Mehamn,92,86,38.06,993.46,5.72,71.03,27.85
191,Cidreira,92,100,61.19,1019.16,5.37,-30.17,-50.22
192,Clinton,1,83,81.97,1019.0,2.1,30.87,-91.02
193,Les Cayes,92,98,83.15,1019.32,4.57,18.19,-73.75
194,Saint-Georges,92,98,44.0,990.54,3.02,46.12,-70.67
195,Nova Olinda do Norte,8,55,86.57,1017.37,1.87,-3.89,-59.1
196,Kalaleh,88,77,64.7,983.33,0.87,37.38,55.49
197,Provideniya,90,87,51.78,993.0,7.0,64.42,-173.23
198,Awbari,88,34,81.89,958.12,6.47,26.59,12.77
199,Lavrentiya,92,91,45.98,1007.81,10.92,65.58,-170.99
200,Ostrovnoy,64,78,24.2,984.95,2.62,68.05,39.51
201,Noumea,75,50,75.18,1013.0,3.6,-22.28,166.46
202,San Rafael,0,16,54.17,926.18,5.22,-34.61,-68.33
203,College,1,7,60.83,1011.0,1.5,64.86,-147.8
204,Kawalu,64,97,65.78,928.86,0.72,-7.38,108.21
205,Pacifica,75,65,76.51,1008.0,5.7,37.61,-122.49
206,Kuala Terengganu,75,94,78.78,1010.0,1.5,5.33,103.14
207,Balabac,8,99,84.05,1022.72,3.37,7.99,117.06
208,Kilindoni,80,100,78.02,1028.32,4.62,-7.91,39.67
209,Anadyr,90,100,48.18,989.0,9.0,64.73,177.51
210,Zaysan,68,85,33.65,916.37,4.87,47.47,84.87
211,Tres Arroyos,32,39,53.63,1017.54,5.92,-38.38,-60.28
212,Terra Santa,0,47,87.65,1016.24,2.92,-2.1,-56.49
213,Zaranj,0,24,71.58,1012.0,6.2,30.95,61.86
214,Imbituba,75,100,67.98,1014.0,0.5,-28.24,-48.67
215,Labuhan,8,85,76.67,999.3,1.17,-2.54,115.51
216,Sorland,92,100,47.51,1014.62,6.12,67.67,12.69
217,Acapulco,75,74,84.18,1008.0,4.6,16.86,-99.88
218,Kacuni,75,100,46.38,1022.0,0.5,44.06,17.94
219,Saint Anthony,1,22,70.27,1008.0,5.1,43.97,-111.68
220,Dongsheng,12,81,63.53,1031.32,1.32,29.72,112.52
221,Itai,44,95,67.85,956.26,2.02,-23.42,-49.09
222,Coihaique,75,56,41.56,1019.0,1.5,-45.58,-72.07
223,Bukoba,68,98,68.57,895.22,1.32,-1.33,31.81
224,Mataram,0,89,75.23,999.38,1.07,-5.32,105.06
225,Cap-aux-Meules,75,70,48.18,1028.0,3.1,47.38,-61.86
226,Qaanaaq,12,100,23.12,1004.0,4.07,77.48,-69.36
227,Xining,76,98,34.82,752.07,1.57,36.62,101.77
228,Whitehorse,75,28,46.38,1014.0,4.6,60.72,-135.06
229,Kenai,75,43,58.96,1012.0,5.7,60.55,-151.26
230,Pantai Remis,75,94,76.03,1010.0,1.0,4.46,100.63
231,Tuatapere,0,98,48.86,1006.92,7.52,-46.13,167.69
232,Tecoanapa,75,74,84.18,1008.0,4.6,16.99,-99.26
233,Cherskiy,12,81,40.85,1001.81,0.97,68.75,161.3
234,Kieta,12,99,82.16,1004.0,0.82,-6.22,155.63
